+	总共	0.3475799560546875
+	加上	0.3044797480106354
+	剩余	0.3027981376647949
-	减去	0.36514194309711456
-	余数	0.36036341965198515
-	失去	0.3572699708491564
-	又	0.3530373275279999
-	以后	0.3519135117530823
-	差	0.3450716733932495
-	水	0.34206366539001465
-	还有	0.34167158603668213
-	比	0.34119221568107605
-	再	0.3403594493865967
-	没	0.33996859192848206
-	等于	0.3384881615638733
-	筐	0.3378056287765503
-	还	0.33736905455589294
-	除	0.3371255397796631
-	相差	0.3357105553150177
-	第	0.33125635981559753
-	余下	0.33005207777023315
-	合格	0.32896459102630615
-	船	0.3259885311126709
-	找回	0.32579755783081055
-	多	0.3257732093334198
-	徒弟	0.3249896466732025
-	岁	0.32286036014556885
-	节约	0.3226378262042999
-	铅笔	0.32157519459724426
-	赚	0.3213290572166443
-	同	0.31967249512672424
-	放入	0.3185329735279083
-	还要	0.3180461525917053
-	超过	0.31758829951286316
-	火车	0.31730321049690247
-	余	0.3170388638973236
-	货车	0.3169851303100586
-	没有	0.3167409896850586
-	现价	0.3166789412498474
-	段	0.3160429894924164
-	就	0.3157917559146881
-	把	0.31555208563804626
-	客车	0.3154897689819336
-	电脑	0.31534242630004883
-	减数	0.3153108286857605
-	书架	0.3152385652065277
-	提高	0.31521499156951904
-	恰好	0.31508177518844604
-	优惠	0.3148603141307831
-	上车	0.31470051407814026
-	头	0.3145469129085541
-	出售	0.3140544295310974
-	加上	0.3137807548046112
-	继续	0.3136916160583496
-	列	0.31314167380332947
-	得	0.31211361289024353
-	提前	0.31113481521606445
-	周	0.3110872507095337
-	鹅	0.3108092248439789
-	剩下	0.31079691648483276
-	楼	0.3102248013019562
-	剩余	0.3100428581237793
-	玉米	0.30972820520401
-	最后	0.3095661401748657
-	女	0.3094072639942169
-	去	0.3094022274017334
-	二	0.3093479871749878
-	文艺	0.30871114134788513
-	这时	0.30834776163101196
-	盐	0.308212012052536
-	公鸡	0.30800092220306396
-	减少	0.3079597580432892
-	仍	0.3078460991382599
-	露出	0.3076707124710083
-	站	0.30766135454177856
-	下	0.30755504965782166
-	正好	0.30672740936279297
-	重量	0.30669689178466797
-	桶	0.3066965341567993
-	黄瓜	0.30637967586517334
-	口袋	0.3056968152523041
-	数	0.3054603934288025
-	少	0.3053108286857605
-	一起	0.3053043782711029
-	苹果树	0.3051415681838989
-	画	0.3048369884490967
-	卖出	0.3047208786010742
-	其	0.3047160804271698
-	光明	0.30465826392173767
-	山路	0.3045739531517029
-	花	0.30447855591773987
-	另	0.3041674494743347
-	下车	0.30399128794670105
-	是	0.30397891998291016
-	中间	0.30365434288978577
-	等腰	0.30350691080093384
-	华	0.3035023510456085
-	空	0.30337002873420715
-	层高	0.30328309535980225
-	教师	0.3031114935874939
-	其余	0.3030318021774292
-	兔子	0.30275875329971313
-	数列	0.3025089502334595
-	丁	0.30247700214385986
-	希望	0.30230313539505005
-	四	0.3020036220550537
-	柳树	0.301990807056427
-	慢车	0.3017737865447998
-	倍	0.30130788683891296
-	所得	0.30111899971961975
-	秒	0.30107828974723816
-	只有	0.3010404706001282
-	到达	0.3009566068649292
-	端	0.3005343973636627
-	计算	0.3004054129123688
-	减	0.30034109950065613
-	中午	0.3003253936767578
-	增产	0.3002539873123169
-	果园	0.3002472221851349
-	美	0.3002057373523712
-	鸭	0.3001103103160858
-	算了	0.30007463693618774
-	一边	0.30007460713386536
-	小巧	0.30006304383277893
\times	每	0.424787700176239
\times	每个	0.395827260017395
\times	乘法	0.3878548908233643
\times	平均	0.3874015212059021
\times	宽	0.37153446674346924
\times	的	0.36091586351394656
\times	各	0.3587397038936615
\times	直径	0.35004130005836487
\times	商	0.34704670310020447
\times	以	0.3410009443759918
\times	乘	0.33351215720176697
\times	乘数	0.3152705132961273
\times	年利率	0.31462231278419495
\times	天	0.3058018088340759
\times	占	0.30496087670326233
\times	之	0.30384162068367004
\divide	除以	0.4559050023555756
\divide	平均	0.42218342125415803
\divide	除数	0.4074456959962845
\divide	乘法	0.3828548908233643
\divide	米	0.30863521933555604
\divide	个	0.3057501673698425
\divide	厘米	0.3015511232614517
